Russian,English
и,and
в,v
не,not
он,he
на,on
я,I am
что,what
тот,that
быть,to be
с,with
а,a
весь,all
это,this is
как,how
она,she
по,on
но,but
они,they
к,To
у,W.
ты,you
из,from
мы,we
за,per
вы,you
так,So
же,Same
от,from
сказать,to tell
этот,this
который,which the
мочь,be able to
человек,human
о,O
один,one
еще,yet
бы,would
такой,such
только,only
себя,myself
свое,Note
какой,which
когда,when
уже,already
для,for
вот,here
кто,who
да,Yes
говорить,talk
год,year
знать,know
мой,my
до,before
или,or
если,if
время,time
рука,hand
нет,No
самый,most
ни,n.
стать,become
большой,big
даже,even
другой,another
наш,our
свой,mine
ну,Well
под,under
где,where
дело,a business
есть,there is
сам,myself
раз,once
чтобы,to
два,two
там,there
чем,how
глаз,eye
жизнь,life
первый,first
день,day
тут,here
во,in
ничто,nothing
потом,after
очень,very
со,SO
хотеть,to want
ли,Li
при,at
голова,head
надо,necessary
без,without
видеть,see
идти,go
теперь,now
тоже,too
стоять,stand
друг,friend
дом,House
сейчас,now
можно,can
после,after
слово,word
здесь,here
думать,think
место,a place
спросить,ask
через,across
лицо,face
что,what
тогда,then
ведь,after all
хороший,good
каждый,each
новый,new
жить,live
должный,due
смотреть,watch
почему,why
потому,because
сторона,side
просто,simply
нога,leg
сидеть,sit
понять,understand
иметь,have
конечный,finite
делать,make
вдруг,all of a sudden
над,above
взять,take
никто,no one
сделать,do
дверь,a door
перед,front
нужный,necessary
понимать,understand
казаться,seem
работа,Work
три,three
ваш,your
уж,О.
земля,Earth
конец,the end
несколько,several
час,hour
голос,voice
город,town
последний,last
пока,while
хорошо,OK
давать,giving
вода,water
более,more
хотя,although
всегда,always
второй,second
куда,where
пойти,Go
стол,table
ребенок,child
увидеть,see
сила,force
отец,father
женщина,female
машина,a car
случай,happening
ночь,night
сразу,straightaway
мир,peace
совсем,at all
остаться,stay
об,about
вид,view
выйти,log off
дать,to give
работать,work
любить,be in love
старый,old
почти,almost
ряд,row
оказаться,be
начало,Start
твой,is yours
вопрос,question
много,many
война,war
снова,again
ответить,to answer
между,between
подумать,think
опять,again
белый,White
деньги,money
значить,to mean
про,pro
лишь,only
минута,minute
жена,wife
посмотреть,look
правда,truth
главный,main
страна,country
свет,light
ждать,wait
мать,mother
будто,as if
никогда,never
товарищ,comrade
дорога,road
однако,but
лежать,lie
именно,exactly
окно,window
никакой,no
найти,find
писать,write
комната,room
Москва,Moscow
часть,part
вообще,generally
книга,book
маленький,small
улица,Street
решить,decide
далёкий,far
душа,soul
чуть,slightly
вернуться,return
утро,morning
некоторый,some
считать,think
сколько,how
помнить,remember
вечер,evening
пол,floor
таки,Taki
получить,receive
народ,people
плечо,shoulder
хоть,though
сегодня,today
бог,the God
